"Date","Price (Open)"
"2020-01-17","8676.79724283593"
"2020-01-16","8812.953144538804"
"2020-01-15","8822.484456807317"
"2020-01-14","8102.603841629623"
"2020-01-13","8177.70886309118"
"2020-01-12","8021.711908112668"
"2020-01-11","8191.170485093456"
"2020-01-10","7811.919685868159"
"2020-01-09","8038.901462896369"
"2020-01-08","8167.286858309501"
"2020-01-07","7778.148980667918"
"2020-01-06","7347.359411295979"
"2020-01-05","7344.271922970288"
"2020-01-04","7311.727505780214"
"2020-01-03","6945.320720686284"
"2020-01-02","7179.808279266126"
"2020-01-01","7168.260565644396"
"2019-12-31","7227.733080299845"
"2019-12-30","7389.4617483055745"
"2019-12-29","7306.198362313965"
"2019-12-28","7243.417387469828"
"2019-12-27","7193.349977736908"
"2019-12-26","7191.644943321132"
"2019-12-25","7252.5487907637"
"2019-12-24","7322.63985814356"
"2019-12-23","7510.947553150389"
"2019-12-22","7147.611764900591"
"2019-12-21","7189.576186811292"
"2019-12-20","7149.056725137923"
"2019-12-19","7284.249525917611"
"2019-12-18","6616.718948833113"
"2019-12-17","6887.005321868279"
"2019-12-16","7140.737731008436"
"2019-12-15","7072.495321402205"
"2019-12-14","7251.165076089738"
"2019-12-13","7185.050981715287"
"2019-12-12","7206.487900226668"
"2019-12-11","7225.038079869438"
"2019-12-10","7342.4141127566"
"2019-12-09","7533.915452864684"
"2019-12-08","7511.921150317936"
"2019-12-07","7545.958886604608"
"2019-12-06","7396.856426942738"
"2019-12-05","7194.358127167172"
"2019-12-04","7300.897697835223"
"2019-12-03","7325.786392502637"
"2019-12-02","7412.250022140485"
"2019-12-01","7563.58048118065"
"2019-11-30","7759.437834823446"
"2019-11-29","7430.808952171658"
"2019-11-28","7521.167720670063"
"2019-11-27","7163.086311432972"
"2019-11-26","7125.335668984613"
"2019-11-25","6915.73266074088"
"2019-11-24","7315.592733031158"
"2019-11-23","7285.8575249142705"
"2019-11-22","7614.6643253480825"
"2019-11-21","8084.619798986598"
"2019-11-20","8121.435141689781"
"2019-11-19","8175.989774522309"
"2019-11-18","8506.517613500419"
"2019-11-17","8492.735100712423"
"2019-11-16","8460.546874459988"
"2019-11-15","8637.445731564008"
"2019-11-14","8774.826229052567"
"2019-11-13","8793.82878447896"
"2019-11-12","8715.661976321373"
"2019-11-11","9040.597134316558"
"2019-11-10","8806.084684868449"
"2019-11-09","8767.75951060724"
"2019-11-08","9200.517517145881"
"2019-11-07","9340.456798878355"
"2019-11-06","9307.77016932234"
"2019-11-05","9408.276644327187"
"2019-11-04","9208.816971477081"
"2019-11-03","9304.335635064625"
"2019-11-02","9231.919999489475"
"2019-11-01","9157.41879893184"
"2019-10-31","9160.630101322913"
"2019-10-30","9424.786560563225"
"2019-10-29","9217.002620476627"
"2019-10-28","9547.035914513306"
"2019-10-27","9261.787585869428"
"2019-10-26","8671.902641770144"
"2019-10-25","7440.570004694258"
"2019-10-24","7479.897358743971"
"2019-10-23","8030.760302886111"
"2019-10-22","8226.70141474039"
"2019-10-21","8245.9071801992"
"2019-10-20","7961.172699766791"
"2019-10-19","7953.102180634168"
"2019-10-18","8074.675552397399"
"2019-10-17","8001.4403276117555"
"2019-10-16","8162.747090885721"
"2019-10-15","8360.005228964897"
"2019-10-14","8281.407199785308"
"2019-10-13","8311.520644174307"
"2019-10-12","8268.250782633762"
"2019-10-11","8572.90671586457"
"2019-10-10","8580.004044420253"
"2019-10-09","8175.610205665015"
"2019-10-08","8223.164493319759"
"2019-10-07","7865.666436466518"
"2019-10-06","8151.674939021527"
"2019-10-05","8148.068677661275"
"2019-10-04","8239.027823344722"
"2019-10-03","8380.030059065853"
"2019-10-02","8327.656662591473"
"2019-10-01","8306.090533252453"
"2019-09-30","8052.647701867014"
"2019-09-29","8220.49707126327"
"2019-09-28","8188.333946620538"
"2019-09-27","8058.125510701129"
"2019-09-26","8435.863187430645"
"2019-09-25","8539.511127331494"
"2019-09-24","9684.829362661703"
"2019-09-23","10035.095292336939"
"2019-09-22","9986.58112253232"
"2019-09-21","10165.384622594933"
"2019-09-20","10296.466768364566"
"2019-09-19","10161.301763809528"
"2019-09-18","10189.986699096731"
"2019-09-17","10261.480621685163"
"2019-09-16","10310.152235476779"
"2019-09-15","10354.238015728755"
"2019-09-14","10349.808588805365"
"2019-09-13","10435.498728491417"
"2019-09-12","10166.617773036029"
"2019-09-11","10107.973298727624"
"2019-09-10","10308.673680832759"
"2019-09-09","10398.894108634064"
"2019-09-08","10485.692550435804"
"2019-09-07","10310.545954872998"
"2019-09-06","10577.966338378346"
"2019-09-05","10585.036762482892"
"2019-09-04","10612.916441948488"
"2019-09-03","10379.897781003012"
"2019-09-02","9755.840783509771"
"2019-09-01","9597.678492999532"
"2019-08-31","9577.697080856959"
"2019-08-30","9481.82493739863"
"2019-08-29","9713.23889901035"
"2019-08-28","10173.2936350153"
"2019-08-27","10366.979008635348"
"2019-08-26","10140.641255888457"
"2019-08-25","10139.438329021996"
"2019-08-24","10392.268847835106"
"2019-08-23","10105.99882061345"
"2019-08-22","10124.953991375307"
"2019-08-21","10737.918067070625"
"2019-08-20","10917.831562922473"
"2019-08-19","10324.327430440959"
"2019-08-18","10223.147820922299"
"2019-08-17","10337.116123013284"
"2019-08-16","10290.893584786883"
"2019-08-15","10008.896530400876"
"2019-08-14","10849.30660957985"
"2019-08-13","11382.168595520783"
"2019-08-12","11542.975291533447"
"2019-08-11","11275.111025869563"
"2019-08-10","11862.049855006138"
"2019-08-09","12004.080475562716"
"2019-08-08","11954.928774754115"
"2019-08-07","11471.948852641235"
"2019-08-06","11805.999156267062"
"2019-08-05","10987.788571719115"
"2019-08-04","10818.569205292157"
"2019-08-03","10516.700832254854"
"2019-08-02","10395.350369523527"
